"id","name","valueType","rank"
2737,"Values and shares of creative goods, exports","percentage_of_world","4.005"
3563,"WEF Natural resources pillar, 1-7 (best)","rank","4.005"
295,"Crime / Losses due to theft and vandalism against the firm % of annual sales","value","4.005"
2738,"Values and shares of creative goods, exports","percentage_by_destination","4.005"
654,"Cooperation in labor-employer relations, 1-7 (best)","rank","4.005"
3533,"WEF Natural and cultural resources subindex, 1-7 (best)","rank","4.005"
2868,"Goods and services (BPM5): Trade balance indicators of services","percentage_of_imports","4.005"
2833,"Goods and services (BPM5): Imports of goods","percentage_of_total_trade","4.005"
1799,"Bound rate, simple mean, manufactured products (%)","value","4.005"
2563,"Volume growth rates of merchandise exports","volume_growth_rate_vs_previous_year","4.005"
2936,"ICT goods re-imports (% of total trade)","usd_millions","4.005"
3445,"Business-to-consumer Internet use, 1-7 (best)","value","4.005"
2562,"Volume growth rates of merchandise exports","volume_growth_rate_over_previous_period","4.005"
2574,"Merchandise: Trade balance","percentage_of_imports","4.005"
3562,"WEF Natural resources pillar, 1-7 (best)","value","4.005"
2740,"Values and shares of creative goods, exports","percentage_of_region","4.005"
2885,"Goods and services (BPM5): Trade openness indicators, exports, goods and services","percentage_of_gdp","4.005"
948,"GDP, PPP (constant 2011 international $)","value","4.005"
2937,"ICT goods re-imports (% of total trade)","percentage_of_total_merchandise_trade","4.005"
1023,"Imports of goods and services (constant 2010 US$)","value","4.005"
1124,"Total reserves (includes gold, current US$)","value","4.005"
2736,"Values and shares of creative goods, exports","usd_millions","4.005"
3024,"Personal remittances: Payments of personal remittances","percentage_of_gdp","4.005"
2564,"Volume growth rates of merchandise exports","volume_index","4.005"
40,"Triadic patent families","total","4.005"
2354,"Domestic value added embodied in gross exports, partner shares","total","4.005"
56,"Strength of ownership rights index (0-100)","value","4.005"
285,"Corruption / Percent of firms expected to give gifts to get an import license","value","4.005"
2319,"Export subsidies (in force)","hs","4.005"
2571,"Merchandise: Trade balance","usd_millions","4.005"
2561,"Volume growth rates of merchandise exports","volume_index_seasonally_adjusted","4.005"
1834,"Insurance and financial services (% of service exports, BoP)","value","4.005"
3322,"Barriers in network sectors","value","4.005"
236,"Firm Characteristics / Percent of firms with legal status of Partnership","value","4.005"
2871,"Goods and services (BPM5): Trade balance indicators of services","usd_millions","4.005"
3221,"CVD Flow","simple","4.005"
302,"Regulations and Taxes / If there were visits average number of visits or required meetings with tax officials","value","4.005"
3222,"CVD Flow","weighted","4.005"
2320,"Export subsidies (in force)","stc","4.005"
3111,"Entrepreneurship as Desirable Career Choice","value","4.005"
3532,"WEF Natural and cultural resources subindex, 1-7 (best)","value","4.005"
24704,"Mobile-cellular monthly subscription charge, in USD","usd","4.005"
453,"Protecting Minority Investors: Extent of shareholder governance ","value","4.005"
653,"Cooperation in labor-employer relations, 1-7 (best)","value","4.005"
461,"Starting a Business: Paid in min capital % of income per capita","value","4.005"
966,"GNI per capita, PPP (constant 2011 international $)","value","4.005"
1135,"Adult literacy rate, population 15+ years, both sexes (%)","value","4.005"
1249,"Access to electricity, urban (% of urban population)","value","4.005"
2832,"Goods and services (BPM5): Imports of goods","usd_millions","4.005"
3056,"Similarity in merchandise trade structures of imports","value","4.005"
213,"Finance / Percent of firms with a checking or savings account","value","4.005"
2009,"High-technology exports (current US$)","value","4.005"
3446,"Business-to-consumer Internet use, 1-7 (best)","rank","4.005"
3363,"Used an account to make a transaction through a mobile phone (% age 15+)","value","4.005"
2739,"Values and shares of creative goods, exports","percentage_by_product","4.005"
2870,"Goods and services (BPM5): Trade balance indicators of services","normalized_trade_balance","4.005"
2869,"Goods and services (BPM5): Trade balance indicators of services","percentage_of_gdp","4.005"
3022,"Personal remittances: Payments of personal remittances","usd_millions","4.005"
439,"Paying Taxes: Labor tax and contributions % of profit","value","4.006"
2741,"Values and shares of creative goods, imports","usd_millions","4.006"
464,"Dealing with Construction Permits ","value","4.006"
2836,"Goods and services (BPM5): Balance of goods and services","usd_millions","4.006"
480,"Resolving Insolvency: Recovery Rate","value","4.006"
967,"GNI per capita, PPP (current international $)","value","4.006"
528,"Ease of access to loans, 1-7 (best)","rank","4.006"
533,"Women in labor force, ratio to men","value","4.006"
234,"Firm Characteristics / Percent of firms with legal status of privately held Limited Liability Company","value","4.006"
2883,"Goods and services (BPM6): Trade balance indicators of goods and services","usd_millions","4.006"
2888,"Goods and services (BPM5): Trade openness indicators, exports, services","percentage_of_gdp","4.006"
3226,"CVD only (non-AD) Flow","weighted","4.006"
2882,"Goods and services (BPM6): Trade balance indicators of goods and services","normalized_trade_balance","4.006"
1800,"Bound rate, simple mean, primary products (%)","value","4.006"
1842,"International tourism, number of departures","value","4.006"
24671,"Capital investment in Travel and Tourism","local_currency_real","4.006"
24672,"Capital investment in Travel and Tourism","percentage_exports","4.006"
24670,"Capital investment in Travel and Tourism","local_currency_nominal","4.006"
3564,"WEF Cultural resources and business travel, 1-7 (best)","value","4.006"
3364,"Used the Internet to pay bills or buy things (% age 15+)","value","4.006"
2880,"Goods and services (BPM6): Trade balance indicators of goods and services","percentage_of_imports","4.006"
2744,"Values and shares of creative goods, imports","percentage_by_product","4.006"
1827,"Fuel exports (% of merchandise exports)","value","4.006"
2567,"Volume growth rates of merchandise imports","volume_growth_rate_vs_previous_year","4.006"
534,"Women in labor force, ratio to men","rank","4.006"
3561,"WEF Tourist service infrastructure pillar, 1-7 (best)","rank","4.006"
3486,"C. Usage subindex","rank","4.006"
949,"GDP, PPP (current international $)","value","4.006"
3560,"WEF Tourist service infrastructure pillar, 1-7 (best)","value","4.006"
2568,"Volume growth rates of merchandise imports","volume_index","4.006"
251,"Infrastructure / If a generator is used average proportion of electricity from a generator %","value","4.006"
24674,"Capital investment in Travel and Tourism","usd_real","4.006"
2939,"ICT goods exports (% of total trade)","usd_millions","4.006"
2565,"Volume growth rates of merchandise imports","volume_index_seasonally_adjusted","4.006"
59,"Time to lease private land (days)","value","4.006"
24673,"Capital investment in Travel and Tourism","usd_nominal","4.006"
24675,"Capital investment in Travel and Tourism","percentage_growth","4.006"
1125,"Total reserves minus gold (current US$)","value","4.006"
2314,"Quantitative trade restrictions (in force)","stc","4.006"
223,"Finance / Proportion of investments financed by equity or stock sales %","value","4.006"
296,"Crime / Products shipped to supply domestic markets that were lost due to theft % of product value","value","4.006"
2313,"Quantitative trade restrictions (in force)","hs","4.006"
804,"Urban population (% of total)","value","4.006"
2745,"Values and shares of creative goods, imports","percentage_of_region","4.006"
1744,"Fixed telephone subscriptions (per 100 people)","value","4.006"
2743,"Values and shares of creative goods, imports","percentage_by_destination","4.006"
691,"Efficiency of legal framework in challenging regs","value","4.006"
3225,"CVD only (non-AD) Flow","simple","4.006"
2881,"Goods and services (BPM6): Trade balance indicators of goods and services","percentage_of_gdp","4.006"
3057,"Similarity in merchandise trade structures of exports","value","4.006"
2938,"ICT goods exports (% of total trade)","percentage_of_total_merchandise_trade","4.006"
3565,"WEF Cultural resources and business travel, 1-7 (best)","rank","4.006"
527,"Ease of access to loans, 1-7 (best)","value","4.006"
449,"Protecting Minority Investors: Strength of minority investor protection ","value","4.006"
3112,"High Status Successful Entrepreneurship","value","4.006"
262,"Workforce / Number of temporary workers","value","4.006"
3324,"Barriers in services sectors","value","4.006"
2889,"Goods and services (BPM5): Trade openness indicators, exports, services","usd_millions","4.006"
692,"Efficiency of legal framework in challenging regs","rank","4.006"
3273,"Merchandise: Trade matrix by product groups, exports","value","4.006"
3485,"C. Usage subindex","value","4.006"
2742,"Values and shares of creative goods, imports","percentage_of_world","4.006"
2361,"Domestic value added in foreign final demand, partner shares","total","4.006"
284,"Corruption / Percent of firms expected to give gifts to get an operating license","value","4.006"
1835,"Insurance and financial services (% of service imports, BoP)","value","4.006"
2566,"Volume growth rates of merchandise imports","volume_growth_rate_over_previous_period","4.006"
292,"Crime / Security costs % of annual sales","value","4.007"
2873,"Goods and services (BPM6): Trade balance indicators of goods","percentage_of_imports","4.007"
706,"Extent of marketing, 1-7 (best)","rank","4.007"
3113,"Media Attention for Entrepreneurship","value","4.007"
2838,"Goods and services (BPM5): Balance of goods","usd_millions","4.007"
912,"Exports of goods and services (constant 2010 US$)","value","4.007"
3025,"Services: Exports by service-category, shares and growth","usd_millions","4.007"
3223,"CVD only (non-AD) Stock","simple","4.007"
267,"Workforce / Proportion of unskilled workers out of all production workers %","value","4.007"
2875,"Goods and services (BPM6): Trade balance indicators of goods","normalized_trade_balance","4.007"
3304,"Barriers to entrepreneurship","value","4.007"
2893,"Goods and services (BPM5): Trade openness indicators, imports, goods","percentage_of_gdp","4.007"
1846,"International tourism, receipts (% of total exports)","value","4.007"
2874,"Goods and services (BPM6): Trade balance indicators of goods","percentage_of_gdp","4.007"
2306,"Safeguard trade restrictions (in force)","stc","4.007"
2933,"ICT goods imports (% of total trade)","percentage_of_total_merchandise_trade","4.007"
1828,"Fuel imports (% of merchandise imports)","value","4.007"
2892,"Goods and services (BPM5): Trade openness indicators, imports, goods","usd_millions","4.007"
3028,"Services: Exports by service-category, shares and growth","percentage_change_year_on_year","4.007"
2932,"ICT goods imports (% of total trade)","usd_millions","4.007"
3052,"Values and shares of creative industries related goods exports","percentage_of_world","4.007"
3027,"Services: Exports by service-category, shares and growth","percentage_of_total_services_trade","4.007"
2305,"Safeguard trade restrictions (in force)","hs","4.007"
3026,"Services: Exports by service-category, shares and growth","percentage_of_world","4.007"
60,"Time to lease public land (days)","value","4.007"
3055,"Values and shares of creative industries related goods exports","percentage_of_region","4.007"
3274,"Merchandise: Trade matrix by product groups, imports","value","4.007"
2370,"HH Market Concentration Index","value","4.007"
3051,"Values and shares of creative industries related goods exports","usd_millions","4.007"
686,"Efficiency of legal framework in settling disputes","rank","4.007"
3053,"Values and shares of creative industries related goods exports","percentage_by_destination","4.007"
246,"Infrastructure / If there were outages average duration of a typical electrical outage hours","value","4.007"
705,"Extent of marketing, 1-7 (best)","value","4.007"
685,"Efficiency of legal framework in settling disputes","value","4.007"
2872,"Goods and services (BPM6): Trade balance indicators of goods","usd_millions","4.007"
3054,"Values and shares of creative industries related goods exports","percentage_by_product","4.007"
233,"Firm Characteristics / Percent of firms with legal status of publicly listed company","value","4.007"
956,"GNI, Atlas method (current US$)","value","4.007"
2345,"Final demand, value added content","total","4.007"
4,"Households with broadband access (%)","total","4.007"
222,"Finance / Proportion of investments financed by supplier credit %","value","4.007"
3224,"CVD only (non-AD) Stock","weighted","4.007"
239,"Gender / Percent of firms with a female top manager","value","4.007"
470,"Registering Property: Procedures","value","4.007"
282,"Corruption / Percent of firms expected to give gifts to secure government contract","value","4.007"
440,"Paying Taxes: Other taxes % of profit","value","4.007"
487,"Resolving Insolvency: Reorganization proceedings","value","4.007"
215,"Finance / Proportion of loans requiring collateral %","value","4.008"
473,"Registering Property: Quality of the land administration","value","4.008"
438,"Paying Taxes: Profit tax % of profit","value","4.008"
3539,"WEF Health and hygiene, 1-7 (best)","rank","4.008"
3494,"D. Impact subindex","rank","4.008"
671,"Favoritism in decisions of government officials, 1-7 (best)","value","4.008"
672,"Favoritism in decisions of government officials, 1-7 (best)","rank","4.008"
2358,"Foreign services value added share of gross exports","total","4.008"
2308,"Safeguard trade restrictions (initiation)","stc","4.008"
413,"Product-mix and sectoral specialization effect","quantity","4.008"
2848,"Goods and services (BPM6): Imports of goods and services","usd_millions","4.008"
28,"ICT investment (%)","total","4.008"
3062,"MFN import tariff rates on non-agricultural and non-fuel products","maximum_rate","4.008"
2829,"Goods and services (BPM5): Exports of services","usd_millions","4.008"
3068,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_5_to_10_tariff_lines","4.008"
24705,"Debit card used in the past year (% age 15+) [w2]","value","4.008"
3493,"D. Impact subindex","value","4.008"
3320,"Barriers to FDI","value","4.008"
2849,"Goods and services (BPM6): Imports of goods and services","percentage_of_total_trade","4.008"
414,"Product-mix and sectoral specialization effect","unit_value","4.008"
1843,"International tourism, receipts (current US$)","value","4.008"
3060,"MFN import tariff rates on non-agricultural and non-fuel products","standard_deviation","4.008"
2828,"Goods and services (BPM5): Exports of services","percentage_of_total_trade","4.008"
2879,"Goods and services (BPM6): Trade balance indicators of services","normalized_trade_balance","4.008"
2876,"Goods and services (BPM6): Trade balance indicators of services","usd_millions","4.008"
526,"Financing through local equity market, 1-7 (best)","rank","4.008"
3031,"Services: Imports by service-category, shares and growth","percentage_of_total_services_trade","4.008"
2891,"Goods and services (BPM5): Trade openness indicators, imports, goods and services","percentage_of_gdp","4.008"
3061,"MFN import tariff rates on non-agricultural and non-fuel products","minimum_rate","4.008"
2935,"ICT goods re-exports (% of total trade)","percentage_of_total_merchandise_trade","4.008"
2878,"Goods and services (BPM6): Trade balance indicators of services","percentage_of_gdp","4.008"
2934,"ICT goods re-exports (% of total trade)","usd_millions","4.008"
238,"Gender / Percent of firms with female participation in ownership","value","4.008"
3072,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_100_more_tariff_lines","4.008"
3089,"MFN import tariff rates on non-agricultural and non-fuel products","simple_average","4.008"
3058,"MFN import tariff rates on non-agricultural and non-fuel products","simple_average_of_simple_averages","4.008"
235,"Firm Characteristics / Percent of firms with legal status of Sole Proprietorship","value","4.008"
3538,"WEF Health and hygiene, 1-7 (best)","value","4.008"
3063,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_duty_free_lines","4.008"
3032,"Services: Imports by service-category, shares and growth","percentage_change_year_on_year","4.008"
3067,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_0_to_5_tariff_lines","4.008"
3059,"MFN import tariff rates on non-agricultural and non-fuel products","weighted_average","4.008"
3070,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_20_to_50_tariff_lines","4.008"
3069,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_10_to_20_tariff_lines","4.008"
2877,"Goods and services (BPM6): Trade balance indicators of services","percentage_of_imports","4.008"
3071,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_50_to_100_tariff_lines","4.008"
2583,"Merchandise: Volume indices of exports","value","4.008"
3029,"Services: Imports by service-category, shares and growth","usd_millions","4.008"
260,"Workforce / Years of the top managers experience working in the firms sector","value","4.008"
3030,"Services: Imports by service-category, shares and growth","percentage_of_world","4.008"
3066,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_international_peaks","4.008"
525,"Financing through local equity market, 1-7 (best)","value","4.008"
3065,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_domestic_peaks","4.008"
3064,"MFN import tariff rates on non-agricultural and non-fuel products","number_of_all_tariff_lines","4.008"
412,"Product-mix and sectoral specialization effect","value","4.008"
3220,"CVD Stock","weighted","4.008"
2307,"Safeguard trade restrictions (initiation)","hs","4.008"
248,"Infrastructure / If there were outages average losses due to electrical outages % of annual sales","value","4.008"
968,"GNI, PPP (constant 2011 international $)","value","4.008"
280,"Corruption / Bribery depth % of public transactions where a gift or informal payment was requested","value","4.008"
3099,"Post-school entrepreneurial education and training","value","4.008"
2890,"Goods and services (BPM5): Trade openness indicators, imports, goods and services","usd_millions","4.008"
3219,"CVD Stock","simple","4.008"
670,"Judicial independence","rank","4.009"
1745,"ICT goods exports (% of total goods exports)","value","4.009"
3090,"Effectively applied import tariff rates on non-agricultural and non-fuel products","simple_average","4.009"
283,"Corruption / Value of gift expected to secure a government contract % of contract value","value","4.009"
240,"Gender / Percent of firms with majority female ownership","value","4.009"
3306,"Barriers to trade and investment","value","4.009"
2850,"Goods and services (BPM6): Balance of goods and services","usd_millions","4.009"
3034,"Services: Exports by service-category, value, shares and growth","percentage_of_total_services_trade","4.009"
2290,"Sanitary and phytosanitary trade restrictions (in force)","stc","4.009"
3076,"Effectively applied import tariff rates on non-agricultural and non-fuel products","minimum_rate","4.009"
3081,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_international_peaks","4.009"
669,"Judicial independence","value","4.009"
3084,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_10_to_20_tariff_lines","4.009"
3074,"Effectively applied import tariff rates on non-agricultural and non-fuel products","weighted_average","4.009"
2834,"Goods and services (BPM5): Imports of services","usd_millions","4.009"
2894,"Goods and services (BPM5): Trade openness indicators, imports, services","usd_millions","4.009"
225,"Finance / Proportion of working capital financed by banks %","value","4.009"
3078,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_duty_free_lines","4.009"
231,"Firm Characteristics / Proportion of governmentstate ownership in a firm %","value","4.009"
3077,"Effectively applied import tariff rates on non-agricultural and non-fuel products","maximum_rate","4.009"
3079,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_all_tariff_lines","4.009"
2895,"Goods and services (BPM5): Trade openness indicators, imports, services","percentage_of_gdp","4.009"
2289,"Sanitary and phytosanitary trade restrictions (in force)","hs","4.009"
3033,"Services: Exports by service-category, value, shares and growth","percentage_of_world","4.009"
3083,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_5_to_10_tariff_lines","4.009"
3036,"Services: Exports by service-category, value, shares and growth","usd_millions","4.009"
3085,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_20_to_50_tariff_lines","4.009"
3087,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_100_more_tariff_lines","4.009"
3230,"SG Flow","weighted","4.009"
3075,"Effectively applied import tariff rates on non-agricultural and non-fuel products","standard_deviation","4.009"
2835,"Goods and services (BPM5): Imports of services","percentage_of_total_trade","4.009"
3086,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_50_to_100_tariff_lines","4.009"
3080,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_domestic_peaks","4.009"
3073,"Effectively applied import tariff rates on non-agricultural and non-fuel products","simple_average_of_simple_averages","4.009"
3008,"Merchandise: Trade value indices of imports","value","4.009"
3100,"R&D Transfer","value","4.009"
247,"Infrastructure / Losses due to electrical outages % of annual sales","value","4.009"
31,"Internet access (% households)","total","4.009"
592,"Fixed broadband Internet subscriptions","rank","4.009"
3366,"Effectiveness of law-making bodies, 1-7 (best)","rank","4.009"
1844,"International tourism, receipts for passenger transport items (current US$)","value","4.009"
3229,"SG Flow","simple","4.009"
3082,"Effectively applied import tariff rates on non-agricultural and non-fuel products","number_of_0_to_5_tariff_lines","4.009"
969,"GNI, PPP (current international $)","value","4.009"
3365,"Effectiveness of law-making bodies, 1-7 (best)","value","4.009"
591,"Fixed broadband Internet subscriptions","value","4.009"
436,"Time to pay taxes (hrs/year)","value","4.009"
3035,"Services: Exports by service-category, value, shares and growth","percentage_change_year_on_year","4.009"
2343,"Foreign value added embodied in domestic final demand","total","4.009"
2852,"Goods and services (BPM6): Exports of goods and services","usd_millions","4.010"
1,"Wireless mobile broadband subscriptions (per 100 inhabitants)","total","4.010"
3374,"Efficiency of legal system in challenging regs, 1-7 (best)","rank","4.010"
3327,"Barriers to trade facilitation","value","4.010"
2840,"Goods and services (BPM5): Balance of services","usd_millions","4.010"
2362,"Foreign value added in domestic final demand, partner shares","total","4.010"
552,"Fixed telephone lines","rank","4.010"
2291,"Sanitary and phytosanitary trade restrictions (initiation)","hs","4.010"
8,"% of Employees in manufacturing by business size","50_249_employees","4.010"
6,"% of Employees in manufacturing by business size","10_19_employees","4.010"
3039,"Services: Imports by service-category, value, shares and growth","percentage_change_year_on_year","4.010"
229,"Firm Characteristics / Proportion of private domestic ownership in a firm %","value","4.010"
2292,"Sanitary and phytosanitary trade restrictions (initiation)","stc","4.010"
2374,"No. Of Imported HS6 Digit Products","value","4.010"
3037,"Services: Imports by service-category, value, shares and growth","percentage_of_world","4.010"
3040,"Services: Imports by service-category, value, shares and growth","usd_millions","4.010"
7,"% of Employees in manufacturing by business size","20_49_employees","4.010"
2905,"Goods and services (BPM5): Trade openness indicators, sum of imports and exports, goods","percentage_of_gdp","4.010"
1746,"ICT goods imports (% total goods imports)","value","4.010"
551,"Fixed telephone lines","value","4.010"
3227,"SG Stock","simple","4.010"
5,"% of Employees in manufacturing by business size","0_9_employees","4.010"
1845,"International tourism, receipts for travel items (current US$)","value","4.010"
3228,"SG Stock","weighted","4.010"
687,"Transparency of government policymaking","value","4.010"
24706,"Credit card used in the past year (% age 15+) [w2]","value","4.010"
3038,"Services: Imports by service-category, value, shares and growth","percentage_of_total_services_trade","4.010"
9,"% of Employees in manufacturing by business size","250_more_employees","4.010"
688,"Transparency of government policymaking","rank","4.010"
3373,"Efficiency of legal system in challenging regs, 1-7 (best)","value","4.010"
2904,"Goods and services (BPM5): Trade openness indicators, sum of imports and exports, goods","usd_millions","4.010"
243,"Gender / Proportion of permanent fulltime nonproduction workers that are female %","value","4.010"
226,"Finance / Proportion of working capital financed  by supplier credit %","value","4.010"
2584,"Merchandise: Volume indices of imports","value","4.010"
2853,"Goods and services (BPM6): Exports of goods and services","percentage_of_total_trade","4.010"
590,"Individuals using Internet %","rank","4.011"
20,"Access to tools to start a business (finance/training)","access_to_training_women","4.011"
3042,"Services: Exports of total services, value, shares and growth","percentage_change_year_on_year","4.011"
3371,"Efficiency of legal system in settling disputes, 1-7 (best)","value","4.011"
2902,"Goods and services (BPM5): Trade openness indicators, sum of imports and exports, goods and services","usd_millions","4.011"
2855,"Goods and services (BPM6): Imports of goods","percentage_of_total_trade","4.011"
2843,"Goods and services (BPM6): Imports of services","percentage_of_total_trade","4.011"
589,"Individuals using Internet %","value","4.011"
2854,"Goods and services (BPM6): Imports of goods","usd_millions","4.011"
13,"% of Enterprises in manufacturing by business size","50_249_employees","4.011"
14,"% of Enterprises in manufacturing by business size","250_more_employees","4.011"
242,"Gender / Proportion of permanent fulltime production workers that are female %","value","4.011"
11,"% of Enterprises in manufacturing by business size","10_19_employees","4.011"
21,"Access to tools to start a business (finance/training)","access_to_finance_men","4.011"
3041,"Services: Exports of total services, value, shares and growth","percentage_of_world","4.011"
12,"% of Enterprises in manufacturing by business size","20_49_employees","4.011"
10,"% of Enterprises in manufacturing by business size","0_9_employees","4.011"
2309,"Special safeguard trade restrictions (in force)","hs","4.011"
230,"Firm Characteristics / Proportion of private foreign ownership in a firm %","value","4.011"
22,"Access to tools to start a business (finance/training)","access_to_finance_women","4.011"
2310,"Special safeguard trade restrictions (in force)","stc","4.011"
2903,"Goods and services (BPM5): Trade openness indicators, sum of imports and exports, goods and services","percentage_of_gdp","4.011"
2587,"Merchandise: Terms of trade indices","value","4.011"
1899,"Share of tariff lines with international peaks, all products (%)","value","4.011"
2842,"Goods and services (BPM6): Imports of services","usd_millions","4.011"
2327,"Gross exports","total","4.011"
19,"Access to tools to start a business (finance/training)","access_to_training_men","4.011"
3372,"Efficiency of legal system in settling disputes, 1-7 (best)","rank","4.011"
3043,"Services: Exports of total services, value, shares and growth","usd_millions","4.011"
3313,"Communication and simplification of rules and procedures","value","4.011"
24707,"Percent of Population Having Mail Delivered at Home","value","4.012"
241,"Gender / Proportion of permanent fulltime workers that are female %","value","4.012"
3045,"Services: Imports of total services, value, shares and growth","percentage_of_world","4.012"
713,"Nature of competitive advantage, 1-7 (best)","value","4.012"
2906,"Goods and services (BPM5): Trade openness indicators, sum of imports and exports, services","usd_millions","4.012"
2331,"Gross exports, direct domestic value added content","total","4.012"
2317,"State trading enterprises (in force)","hs","4.012"
3044,"Services: Imports of total services, value, shares and growth","usd_millions","4.012"
317,"Trade / Proportion of total inputs that are of domestic origin %","value","4.012"
2907,"Goods and services (BPM5): Trade openness indicators, sum of imports and exports, services","percentage_of_gdp","4.012"
3401,"Electricity production, kWh/capita","value","4.012"
3402,"Electricity production, kWh/capita","rank","4.012"
2844,"Goods and services (BPM6): Balance of services","usd_millions","4.012"
2318,"State trading enterprises (in force)","stc","4.012"
714,"Nature of competitive advantage, 1-7 (best)","rank","4.012"
1900,"Share of tariff lines with international peaks, manufactured products (%)","value","4.012"
3323,"Complexity of regulatory procedures","value","4.012"
16,"Self-employed with employees (%)","women","4.012"
3046,"Services: Imports of total services, value, shares and growth","percentage_change_year_on_year","4.012"
1521,"Borrowers from commercial banks (per 1,000 adults)","value","4.012"
2585,"Merchandise: Unit value indices of exports","value","4.012"
15,"Self-employed with employees (%)","men","4.012"
2856,"Goods and services (BPM6): Balance of goods","usd_millions","4.012"
24667,"Internal Travel and Tourism consumption","usd_nominal","4.013"
3009,"Merchandise:Purchasing power indices of exports","value","4.013"
2330,"Gross exports, domestic value added content","total","4.013"
2858,"Goods and services (BPM6): Exports of goods","usd_millions","4.013"
318,"Trade / Proportion of total inputs that are of foreign origin %","value","4.013"
2315,"Tariff-rate quotas (in force)","hs","4.013"
24664,"Internal Travel and Tourism consumption","local_currency_nominal","4.013"
2918,"Goods and services (BPM6): Trade openness indicators, average of imports and exports, goods","usd_millions","4.013"
556,"Production process sophistication, 1-7 (best)","rank","4.013"
2847,"Goods and services (BPM6): Exports of services","usd_millions","4.013"
18,"Self-employed without employees (%)","women","4.013"
24668,"Internal Travel and Tourism consumption","usd_real","4.013"
507,"Imports as a percentage of GDP","value","4.013"
2316,"Tariff-rate quotas (in force)","stc","4.013"
508,"Imports as a percentage of GDP","rank","4.013"
1931,"Transport services (% of commercial service exports)","value","4.013"
24669,"Internal Travel and Tourism consumption","percentage_growth","4.013"
3447,"Extent of staff training, 1-7 (best)","value","4.013"
2919,"Goods and services (BPM6): Trade openness indicators, average of imports and exports, goods","percentage_of_gdp","4.013"
1901,"Share of tariff lines with international peaks, primary products (%)","value","4.013"
3448,"Extent of staff training, 1-7 (best)","rank","4.013"
2859,"Goods and services (BPM6): Exports of goods","percentage_of_total_trade","4.013"
24666,"Internal Travel and Tourism consumption","percentage_share","4.013"
2846,"Goods and services (BPM6): Exports of services","percentage_of_total_trade","4.013"
1531,"Commercial bank branches (per 100,000 adults)","value","4.013"
24665,"Internal Travel and Tourism consumption","local_currency_real","4.013"
17,"Self-employed without employees (%)","men","4.013"
3325,"Differential treatment of foreign suppliers","value","4.013"
555,"Production process sophistication, 1-7 (best)","value","4.013"
24708,"Percent of Income Linked to Parcels and Logistics Services","value","4.013"
24709,"Postal Reliability Index","value","4.014"
1535,"Depositors with commercial banks (per 1,000 adults)","value","4.014"
3319,"Direct control over business enterprises","value","4.014"
24653,"Domestic Tourism Spending","local_currency_real","4.014"
2911,"Goods and services (BPM6): Trade openness indicators, average of imports and exports, goods and services","percentage_of_gdp","4.014"
2910,"Goods and services (BPM6): Trade openness indicators, average of imports and exports, goods and services","usd_millions","4.014"
2294,"Technical barriers to trade (in force)","stc","4.014"
1902,"Share of tariff lines with specific rates, all products (%)","value","4.014"
2586,"Merchandise: Unit value indices of imports","value","4.014"
24654,"Domestic Tourism Spending","percentage_share","4.014"
2328,"Gross exports, final products","total","4.014"
24652,"Domestic Tourism Spending","local_currency_nominal","4.014"
24657,"Domestic Tourism Spending","percentage_growth","4.014"
634,"Property rights","rank","4.014"
1022,"Imports of goods and services (BoP, current US$)","value","4.014"
24655,"Domestic Tourism Spending","usd_nominal","4.014"
633,"Property rights","value","4.014"
24656,"Domestic Tourism Spending","usd_real","4.014"
3438,"Firm-level technology absorption, 1-7 (best)","rank","4.014"
2293,"Technical barriers to trade (in force)","hs","4.014"
1932,"Transport services (% of commercial service imports)","value","4.014"
3437,"Firm-level technology absorption, 1-7 (best)","value","4.014"
312,"Trade / Proportion of total sales that are domestic sales %","value","4.014"
739,"Financial Market Development","value","4.015"
3307,"Explicit barriers to trade and investment","value","4.015"
1128,"Transport services (% of service exports, BoP)","value","4.015"
665,"Public trust in politicians","value","4.015"
740,"Financial Market Development","rank","4.015"
1903,"Share of tariff lines with specific rates, manufactured products (%)","value","4.015"
24662,"Government spending on travel and Tourism service","percentage_growth","4.015"
24661,"Government spending on travel and Tourism service","usd_real","4.015"
313,"Trade / Proportion of total sales that are exported directly %","value","4.015"
24660,"Government spending on travel and Tourism service","usd_nominal","4.015"
